feature,importance
cost_revisions_so_far,0.26538682
cost_already_revised,0.120259464
cost_overrun_so_far_pct,0.10134196
ministry_freq,0.05125282
agency_freq,0.04724128
spend_rate_3m,0.046439394
progress_stall,0.04597906
sector_freq,0.029411294
time_overrun_months,0.025476731
progress_rate_3m,0.024272792
cost_change_3m,0.023563804
months_to_revised_doc,0.021661183
planned_duration_months,0.018411504
approval_to_start_months,0.01720905
multi_state,0.017175868
log_original_cost,0.017042428
progress_pct,0.016823687
exp_per_pct,0.016532935
progress_vs_expected,0.01607394
expenditure_vs_revised,0.0159322
spend_vs_progress,0.0157321
approval_year,0.013728692
age_at_t_months,0.010917475
total_doc_push_months,0.010517143
deadline_revised_so_far,0.00606137
doc_push_recent,0.005554991
