feature,importance
time_overrun_months,0.07547397
agency_freq,0.07532861
progress_stall,0.06823154
months_to_revised_doc,0.06798125
sector_freq,0.06649983
cost_revisions_so_far,0.06636024
ministry_freq,0.04673001
cost_change_3m,0.046400912
planned_duration_months,0.043347012
deadline_revised_so_far,0.040387683
progress_pct,0.037278812
progress_vs_expected,0.03401913
expenditure_vs_revised,0.032126296
progress_rate_3m,0.029730855
spend_rate_3m,0.02964158
approval_year,0.029080294
exp_per_pct,0.025143875
multi_state,0.024484672
cost_overrun_so_far_pct,0.023786362
total_doc_push_months,0.023111526
approval_to_start_months,0.02303968
spend_vs_progress,0.02259392
age_at_t_months,0.02151472
log_original_cost,0.020484267
doc_push_recent,0.017768314
cost_already_revised,0.009454686
