feature,mean_abs_shap
cost_overrun_so_far_pct,1.4689424
log_original_cost,1.0214325
cost_revisions_so_far,0.97355485
spend_rate_3m,0.87770253
progress_vs_expected,0.59624356
time_overrun_months,0.59217924
agency_freq,0.58473116
exp_per_pct,0.55615175
spend_vs_progress,0.53863764
progress_stall,0.49992025
approval_to_start_months,0.49706754
months_to_revised_doc,0.49107495
planned_duration_months,0.37399992
expenditure_vs_revised,0.3663174
progress_pct,0.3630503
total_doc_push_months,0.33911347
progress_rate_3m,0.3365593
age_at_t_months,0.32691792
cost_change_3m,0.24169566
approval_year,0.21819256
ministry_freq,0.19428055
sector_freq,0.13201724
cost_already_revised,0.12634948
multi_state,0.06569939
doc_push_recent,0.0638306
deadline_revised_so_far,0.016469246
