feature,mean_abs_shap
months_to_revised_doc,1.1975259
agency_freq,1.0285611
progress_vs_expected,0.50706583
time_overrun_months,0.4671475
progress_pct,0.33764789
total_doc_push_months,0.3084825
planned_duration_months,0.29709318
ministry_freq,0.23402321
spend_rate_3m,0.21843474
exp_per_pct,0.2105902
log_original_cost,0.1929945
expenditure_vs_revised,0.17743851
approval_year,0.17355242
age_at_t_months,0.16956626
spend_vs_progress,0.16896392
cost_revisions_so_far,0.15823309
progress_rate_3m,0.15582815
progress_stall,0.13189015
approval_to_start_months,0.12927015
cost_overrun_so_far_pct,0.11293659
sector_freq,0.10985907
multi_state,0.073823474
doc_push_recent,0.03840049
cost_change_3m,0.03733522
deadline_revised_so_far,0.014995475
cost_already_revised,0.0040538604
