stable_id,month,project_name,ministry,sector,agency,state,log_original_cost,multi_state,agency_freq,sector_freq,ministry_freq,approval_to_start_months,approval_year,planned_duration_months,age_at_t_months,cost_overrun_so_far_pct,cost_already_revised,expenditure_vs_revised,progress_pct,progress_vs_expected,time_overrun_months,deadline_revised_so_far,total_doc_push_months,months_to_revised_doc,spend_vs_progress,exp_per_pct,progress_rate_3m,spend_rate_3m,cost_change_3m,progress_stall,doc_push_recent,cost_revisions_so_far,y_cost_escalation,y_deadline_slip,y_high_risk,n_future
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2025-07,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,18,0.0,0,0.17126095295400698,31.0,-44.0,0,0,0,,1.469032258064516,0.5524546869484096,,,,,0,0,0,1,1,2
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2025-08,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,19,0.0,0,0.18825918543868225,34.0,-45.16666666666667,0,1,2,7,1.4723529411764706,0.5537034865843595,3.0,4.520000000000003,0.0,0,1,0,0,0,0,2
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2025-09,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,20,0.0,0,0.2234966718062502,35.0,-48.33333333333333,0,1,2,6,1.698,0.6385619194464291,2.0,6.945,0.0,0,1,0,0,0,0,2
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2025-10,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,21,0.0,0,0.2527922981459892,39.0,-48.5,0,1,2,5,1.7235897435897436,0.6481853798615108,2.5,8.579999999999998,0.0,0,0,0,0,0,0,2
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2025-11,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,22,0.0,0,0.28825542476777855,42.0,-49.66666666666667,0,1,2,4,1.8250000000000002,0.6863224399232822,3.5,8.610000000000003,0.0,0,0,0,0,1,1,2
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2025-12,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,23,0.0,0,0.3342108232108608,46.0,-49.83333333333333,0,1,2,3,1.9319565217391306,0.7265452678496973,3.5,10.825000000000003,0.0,0,0,0,0,1,1,2
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2026-01,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,24,0.0,0,0.3653115715843706,50.0,-50.0,0,1,4,4,1.9428,0.7306231431687412,4.0,10.244999999999997,0.0,0,1,0,0,0,0,2
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2026-02,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,25,0.0,0,0.39314053627167084,53.0,-47.0,1,1,4,3,1.9724528301886795,0.7417745967390016,3.5,7.835000000000001,0.0,0,1,0,0,1,1,2
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2026-03,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,26,0.0,0,0.4519950359144071,60.0,-40.0,2,1,4,2,2.0031666666666665,0.753325059857345,5.0,11.524999999999999,0.0,0,0,0,0,1,1,2
construction of new domestic terminal building building and |airport authority of india [aai]|andhra pradesh,2026-04,Construction of New Domestic Terminal Building Building and miscellaneous works ,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Airport Authority of India [AAI],Andhra Pradesh,5.586911522924786,0,318,335,335,10,2023,24,27,0.0,0,0.48538979353916734,65.0,-35.0,3,1,6,3,1.9856923076923076,0.7467535285217959,6.0,12.264999999999993,0.0,0,1,0,0,0,0,2
